X: 911, Y: -232, Z: 349
X: 911, Y: -232, Z: 349
X: 928, Y: -179, Z: 374
X: 928, Y: -179, Z: 374
X: 928, Y: -179, Z: 374
X: 928, Y: -179, Z: 374
X: 928, Y: -179, Z: 374
X: 976, Y: -108, Z: 381
X: 976, Y: -108, Z: 381
X: 976, Y: -108, Z: 381
X: 976, Y: -108, Z: 381
X: 976, Y: -108, Z: 381
X: 976, Y: -18, Z: 407
X: 976, Y: -18, Z: 407
X: 976, Y: -18, Z: 407
X: 976, Y: -18, Z: 407
X: 976, Y: -18, Z: 407
X: 1018, Y: 83, Z: 426
X: 1018, Y: 83, Z: 426
X: 1018, Y: 83, Z: 426
X: 1018, Y: 83, Z: 426
X: 1018, Y: 83, Z: 426
X: 1024, Y: 154, Z: 400
X: 1024, Y: 154, Z: 400
X: 1024, Y: 154, Z: 400
X: 1024, Y: 154, Z: 400
X: 1024, Y: 154, Z: 400
X: 1036, Y: 255, Z: 420
X: 1036, Y: 255, Z: 420
X: 1036, Y: 255, Z: 420
X: 1036, Y: 255, Z: 420
X: 1036, Y: 255, Z: 420
X: 1053, Y: 315, Z: 400
X: 1053, Y: 315, Z: 400
X: 1053, Y: 315, Z: 400
X: 1053, Y: 315, Z: 400
X: 1053, Y: 315, Z: 400
X: 1030, Y: 368, Z: 387
X: 1030, Y: 368, Z: 387
X: 1030, Y: 368, Z: 387
X: 1030, Y: 368, Z: 387
X: 1030, Y: 368, Z: 387
X: 1041, Y: 386, Z: 381
X: 1041, Y: 386, Z: 381
X: 1041, Y: 386, Z: 381
X: 1041, Y: 386, Z: 381
X: 1041, Y: 386, Z: 381
X: 1053, Y: 410, Z: 381
X: 1053, Y: 410, Z: 381
X: 1053, Y: 410, Z: 381
X: 1053, Y: 410, Z: 381
X: 1053, Y: 410, Z: 381
X: 1077, Y: 386, Z: 374
X: 1077, Y: 386, Z: 374
X: 1077, Y: 386, Z: 374
X: 1077, Y: 386, Z: 374
X: 1077, Y: 386, Z: 374
X: 1083, Y: 362, Z: 342
X: 1083, Y: 362, Z: 342
X: 1083, Y: 362, Z: 342
X: 1083, Y: 362, Z: 342
X: 1083, Y: 362, Z: 342
X: 1089, Y: 344, Z: 277
X: 1089, Y: 344, Z: 277
X: 1089, Y: 344, Z: 277
X: 1089, Y: 344, Z: 277
X: 1089, Y: 344, Z: 277
X: 1101, Y: 374, Z: 271
X: 1101, Y: 374, Z: 271
X: 1101, Y: 374, Z: 271
X: 1101, Y: 374, Z: 271
X: 1101, Y: 374, Z: 271
X: 1065, Y: 345, Z: 303
X: 1065, Y: 345, Z: 303
X: 1065, Y: 345, Z: 303
X: 1065, Y: 345, Z: 303
X: 1065, Y: 345, Z: 303
X: 1065, Y: 345, Z: 277
X: 1065, Y: 345, Z: 277
X: 1065, Y: 345, Z: 277
X: 1065, Y: 345, Z: 277
X: 1065, Y: 345, Z: 277
X: 1089, Y: 356, Z: 316
X: 1089, Y: 356, Z: 316
X: 1089, Y: 356, Z: 316
X: 1089, Y: 356, Z: 316
X: 1089, Y: 356, Z: 316
X: 1077, Y: 345, Z: 342
X: 1077, Y: 345, Z: 342
X: 1077, Y: 345, Z: 342
X: 1077, Y: 345, Z: 342
X: 1077, Y: 345, Z: 342
X: 1083, Y: 350, Z: 336
X: 1083, Y: 350, Z: 336
X: 1083, Y: 350, Z: 336
X: 1083, Y: 350, Z: 336
X: 1083, Y: 350, Z: 336
X: 1083, Y: 368, Z: 329
X: 1083, Y: 368, Z: 329
X: 1083, Y: 368, Z: 329
X: 1083, Y: 368, Z: 329
X: 1083, Y: 368, Z: 329
X: 1065, Y: 374, Z: 349
X: 1065, Y: 374, Z: 349
X: 1065, Y: 374, Z: 349
X: 1065, Y: 374, Z: 349
X: 1065, Y: 374, Z: 349
X: 1095, Y: 321, Z: 310
X: 1095, Y: 321, Z: 310
X: 1095, Y: 321, Z: 310
X: 1095, Y: 321, Z: 310
X: 1095, Y: 321, Z: 310
X: 1089, Y: 345, Z: 310
X: 1089, Y: 345, Z: 310
X: 1089, Y: 345, Z: 310
X: 1089, Y: 345, Z: 310
X: 1089, Y: 345, Z: 310
X: 1047, Y: 392, Z: 349
X: 1047, Y: 392, Z: 349
X: 1047, Y: 392, Z: 349
X: 1047, Y: 392, Z: 349
X: 1047, Y: 392, Z: 349
X: 1083, Y: 386, Z: 303
X: 1083, Y: 386, Z: 303
X: 1083, Y: 386, Z: 303
X: 1083, Y: 386, Z: 303
X: 1083, Y: 386, Z: 303
X: 1071, Y: 452, Z: 349
X: 1071, Y: 452, Z: 349
X: 1071, Y: 452, Z: 349
X: 1071, Y: 452, Z: 349
X: 1071, Y: 452, Z: 349
X: 1036, Y: 523, Z: 349
X: 1036, Y: 523, Z: 349
X: 1036, Y: 523, Z: 349
X: 1036, Y: 523, Z: 349
X: 1036, Y: 523, Z: 349
X: 1036, Y: 594, Z: 303
X: 1036, Y: 594, Z: 303
X: 1036, Y: 594, Z: 303
X: 1036, Y: 594, Z: 303
X: 1036, Y: 594, Z: 303
X: 1000, Y: 678, Z: 290
X: 1000, Y: 678, Z: 290
X: 1000, Y: 678, Z: 290
X: 1000, Y: 678, Z: 290
X: 1000, Y: 678, Z: 290
X: 994, Y: 690, Z: 264
X: 994, Y: 690, Z: 264
X: 994, Y: 690, Z: 264
X: 994, Y: 690, Z: 264
X: 994, Y: 690, Z: 264
X: 970, Y: 725, Z: 239
X: 970, Y: 725, Z: 239
X: 970, Y: 725, Z: 239
X: 970, Y: 725, Z: 239
X: 970, Y: 725, Z: 239
X: 958, Y: 761, Z: 219
X: 958, Y: 761, Z: 219
X: 958, Y: 761, Z: 219
X: 958, Y: 761, Z: 219
X: 958, Y: 761, Z: 219
X: 934, Y: 820, Z: 226
X: 934, Y: 820, Z: 226
X: 934, Y: 820, Z: 226
X: 934, Y: 820, Z: 226
X: 934, Y: 820, Z: 226
X: 899, Y: 862, Z: 180
X: 899, Y: 862, Z: 180
X: 899, Y: 862, Z: 180
X: 899, Y: 862, Z: 180
X: 899, Y: 862, Z: 180
X: 869, Y: 892, Z: 161
X: 869, Y: 892, Z: 161
X: 869, Y: 892, Z: 161
X: 869, Y: 892, Z: 161
X: 869, Y: 892, Z: 161
X: 827, Y: 993, Z: 116
X: 827, Y: 993, Z: 116
X: 827, Y: 993, Z: 116
X: 827, Y: 993, Z: 116
X: 827, Y: 993, Z: 116
X: 768, Y: 1029, Z: 71
X: 768, Y: 1029, Z: 71
X: 768, Y: 1029, Z: 71
X: 768, Y: 1029, Z: 71
X: 768, Y: 1029, Z: 71
X: 726, Y: 1088, Z: 38
X: 726, Y: 1088, Z: 38
X: 726, Y: 1088, Z: 38
X: 726, Y: 1088, Z: 38
X: 726, Y: 1088, Z: 38
X: 667, Y: 1094, Z: 12
X: 667, Y: 1094, Z: 12
X: 667, Y: 1094, Z: 12
X: 667, Y: 1094, Z: 12
X: 667, Y: 1094, Z: 12
